State,district,State and District,date,confirmed,active,recovered,deceased,New Confirmed,New active,New recovered,New deceased,State_Code
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/11/2020,46,15,31,0,0,0,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/12/2020,47,16,31,0,1,1,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/13/2020,51,16,35,0,4,0,4,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/14/2020,51,16,35,0,0,0,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/15/2020,52,17,35,0,1,1,0,0,AP
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh",5/16/2020,52,14,38,0,0,-3,3,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",4/21/2020,157,136,15,6,157,136,15,6,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",4/22/2020,177,156,15,6,20,20,0,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",4/23/2020,195,164,23,8,18,8,8,2,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",4/24/2020,206,175,23,8,11,11,0,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",4/25/2020,209,178,23,8,3,3,0,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",4/26/2020,214,177,29,8,5,-1,6,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",4/27/2020,237,200,29,8,23,23,0,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",4/28/2020,254,207,39,8,17,7,10,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",4/29/2020,283,216,59,8,29,9,20,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",4/30/2020,287,192,87,8,4,-24,28,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/1/2020,306,201,97,8,19,9,10,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/2/2020,308,203,97,8,2,2,0,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/3/2020,319,196,115,8,11,-7,18,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/4/2020,338,215,115,8,19,19,0,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/5/2020,351,215,128,8,13,0,13,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/6/2020,363,226,129,8,12,11,1,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/7/2020,373,215,150,8,10,-11,21,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/8/2020,374,202,164,8,1,-13,14,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/9/2020,376,200,168,8,2,-2,4,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/10/2020,382,198,176,8,6,-2,8,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/11/2020,387,181,198,8,5,-17,22,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/12/2020,387,181,198,8,0,0,0,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/13/2020,399,166,225,8,12,-15,27,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/14/2020,404,150,246,8,5,-16,21,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/15/2020,404,139,257,8,0,-11,11,0,AP
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh",5/16/2020,413,148,257,8,9,9,0,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",4/21/2020,83,63,14,6,83,63,14,6,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",4/22/2020,86,66,14,6,3,3,0,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",4/23/2020,88,56,25,7,2,-10,11,1,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",4/24/2020,102,70,25,7,14,14,0,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",4/25/2020,127,90,29,8,25,20,4,1,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",4/26/2020,177,140,29,8,50,50,0,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",4/27/2020,210,173,29,8,33,33,0,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",4/28/2020,223,186,29,8,13,13,0,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",4/29/2020,236,196,32,8,13,10,3,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",4/30/2020,246,206,32,8,10,10,0,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/1/2020,246,201,37,8,0,-5,5,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/2/2020,258,206,44,8,12,5,7,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/3/2020,266,212,46,8,8,6,2,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/4/2020,278,224,46,8,12,12,0,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/5/2020,286,221,56,9,8,-3,10,1,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/6/2020,300,173,117,10,14,-48,61,1,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/7/2020,316,182,123,11,16,9,6,1,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/8/2020,322,185,126,11,6,3,3,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/9/2020,338,191,134,13,16,6,8,2,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/10/2020,339,189,137,13,1,-2,3,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/11/2020,342,187,142,13,3,-2,5,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/12/2020,346,155,177,14,4,-32,35,1,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/13/2020,349,133,202,14,3,-22,25,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/14/2020,351,134,203,14,2,1,1,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/15/2020,360,140,206,14,9,6,3,0,AP
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh",5/16/2020,367,142,211,14,7,2,5,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",4/21/2020,184,175,4,5,184,175,4,5,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",4/22/2020,203,194,4,5,19,19,0,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",4/23/2020,234,223,4,7,31,29,0,2,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",4/24/2020,261,249,4,8,27,26,0,1,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",4/25/2020,275,259,7,9,14,10,3,1,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",4/26/2020,279,239,31,9,4,-20,24,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",4/27/2020,292,252,31,9,13,13,0,0,AP
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh",4/28/2020,332,280,43,9,40,28,12,0,AP
